"date","metrics","value"
"20161221","25",164.125
"20161221","26",319.458333333333
"20161221","27",404.916666666667
"20161221","28",333.875
"20161221","29",365.782608695652
"20161221","30",465.458333333333
"20161221","31",435.916666666667
"20161221","32",426
"20161221","33",411.375
"20161221","34",443.875
"20161221","35",412.458333333333
"20161220","1",387.913043478261
"20161220","2",375.130434782609
"20161220","3",401.181818181818
"20161220","4",405.909090909091
"20161220","5",326.772727272727
"20161220","6",350.954545454545
"20161220","7",339.086956521739
"20161220","8",304.181818181818
"20161220","9",250.521739130435
"20161220","10",441.782608695652
"20161220","11",398.739130434783
"20161220","12",359.913043478261
"20161220","13",483.869565217391
"20161220","14",443.913043478261
"20161220","15",335.565217391304
"20161220","16",364.739130434783
"20161220","17",282.173913043478
"20161220","18",330.608695652174
"20161220","19",231.304347826087
"20161220","20",297.782608695652
"20161220","21",258
"20161220","22",247.913043478261
"20161220","23",210.173913043478
"20161220","24",249.869565217391
"20161220","25",126.869565217391
"20161220","26",78.1304347826087
"20161220","27",367.727272727273
"20161220","28",391.260869565217
"20161220","29",417.695652173913
"20161220","30",475.608695652174
"20161220","31",405.782608695652
"20161220","32",404.260869565217
"20161220","33",386.95652173913
"20161220","34",428.478260869565
"20161220","35",360.217391304348
"20161219","1",295.375
"20161219","2",283.625
"20161219","3",303.166666666667
"20161219","4",319.75
"20161219","5",282.416666666667
"20161219","6",285.666666666667
"20161219","7",271.173913043478
"20161219","8",273.304347826087
"20161219","9",246.083333333333
"20161219","10",296.958333333333
"20161219","11",288.75
"20161219","12",257.791666666667
"20161219","13",311.791666666667
"20161219","14",356.083333333333
"20161219","15",301.583333333333
"20161219","16",303
"20161219","17",205.833333333333
"20161219","18",236.083333333333
"20161219","19",233.625
"20161219","20",255.291666666667
"20161219","21",157.625
"20161219","22",157.25
"20161219","23",197.333333333333
"20161219","24",222.458333333333
"20161219","25",125.208333333333
"20161219","26",88.9583333333333
"20161219","27",389.291666666667
"20161219","28",443.583333333333
"20161219","29",416.461538461538
"20161219","30",391.458333333333
"20161219","31",302.708333333333
"20161219","32",314.826086956522
"20161219","33",312.590909090909
"20161219","34",330.391304347826
"20161219","35",294.541666666667
"20161218","1",323.541666666667
"20161218","2",309.333333333333
"20161218","3",298.75
"20161218","4",324.041666666667
"20161218","5",292.083333333333
"20161218","6",325.458333333333
"20161218","7",244.875
"20161218","8",205.391304347826
"20161218","9",215.458333333333
"20161218","10",295.086956521739
"20161218","11",269.333333333333
"20161218","12",227.625
"20161218","13",281.125
"20161218","14",347.75
"20161218","15",310.208333333333
"20161218","16",347.208333333333
"20161218","17",271.916666666667
"20161218","18",224.875
"20161218","19",167.875
"20161218","20",286.75
"20161218","21",188.791666666667
"20161218","22",210.583333333333
"20161218","23",175.708333333333
"20161218","24",199.75
"20161218","25",104.541666666667
"20161218","26",180.875
"20161218","27",358.375
"20161218","28",473.583333333333
"20161218","29",408.166666666667
"20161218","30",329.166666666667
"20161218","31",322.708333333333
"20161218","32",326.5
"20161218","33",305.833333333333
"20161218","34",330.434782608696
"20161218","35",340.666666666667
"20161217","1",231.125
"20161217","2",246.695652173913
"20161217","3",222.434782608696
"20161217","4",252.166666666667
"20161217","5",190.333333333333
"20161217","6",229.625
"20161217","7",188.958333333333
"20161217","8",138.583333333333
"20161217","9",138.25
"20161217","10",257.208333333333
"20161217","11",223.416666666667
"20161217","12",199.708333333333
"20161217","13",244.958333333333
"20161217","14",329.625
"20161217","15",263.541666666667
"20161217","16",272.916666666667
"20161217","17",131.625
"20161217","18",116.666666666667
"20161217","19",130.916666666667
"20161217","20",176.125
"20161217","21",82.9565217391304
"20161217","22",92.0416666666667
"20161217","23",117.083333333333
"20161217","24",102.25
"20161217","25",70.9166666666667
"20161217","26",71.0416666666667
"20161217","27",280.416666666667
"20161217","28",398.041666666667
"20161217","29",316.708333333333
"20161217","30",295.5
"20161217","31",239.5
"20161217","32",257.083333333333
"20161217","33",219.181818181818
"20161217","34",272
"20161217","35",236.416666666667
"20161216","1",100.416666666667
"20161216","2",105.666666666667
"20161216","3",97.1666666666667
"20161216","4",131.416666666667
"20161216","5",63
"20161216","6",85.125
"20161216","7",69.3333333333333
"20161216","8",56.875
"20161216","9",53.8333333333333
"20161216","10",157.75
"20161216","11",115.916666666667
"20161216","12",95.125
"20161216","13",175.208333333333
"20161216","14",196.625
"20161216","15",136.375
"20161216","16",96.7916666666667
"20161216","17",38.3333333333333
"20161216","18",55.1666666666667
"20161216","19",56.5
"20161216","20",43.125
"20161216","21",32.125
"20161216","22",29.1666666666667
"20161216","23",48.4583333333333
"20161216","24",43.125
"20161216","25",50.4583333333333
"20161216","26",19.0416666666667
"20161216","27",66.8333333333333
"20161216","28",139.625
"20161216","29",154.791666666667
"20161216","30",256
"20161216","31",114.416666666667
"20161216","32",123.958333333333
"20161216","33",90.625
"20161216","34",154.166666666667
"20161216","35",81.7083333333333
"20161215","1",64.5416666666667
"20161215","2",62.1666666666667
"20161215","3",58.5833333333333
"20161215","4",62.7916666666667
"20161215","5",54.7916666666667
"20161215","6",59.7391304347826
"20161215","7",58
"20161215","8",60.2916666666667
"20161215","9",41.2083333333333
"20161215","10",70.75
"20161215","11",65.5
"20161215","12",65.9166666666667
"20161215","13",86.5
"20161215","14",88.875
"20161215","15",69.125
"20161215","16",74.375
"20161215","17",57.875
"20161215","18",51.3333333333333
"20161215","19",57.3478260869565
"20161215","20",48.3333333333333
"20161215","21",37.9166666666667
"20161215","22",39.1666666666667
"20161215","23",55.875
"20161215","24",40.1304347826087
"20161215","25",55.8333333333333
"20161215","26",17.5416666666667
"20161215","27",49.6666666666667
"20161215","28",77.8333333333333
"20161215","29",109.409090909091
"20161215","30",145.833333333333
"20161215","31",63.9583333333333
"20161215","32",62.7826086956522
"20161215","33",58.5833333333333
"20161215","34",68.4090909090909
"20161215","35",64.4166666666667
"20161214","1",31.875
"20161214","2",41.2083333333333
"20161214","3",33.7916666666667
"20161214","4",38.6666666666667
"20161214","5",37.7391304347826
"20161214","6",29.4166666666667
"20161214","7",43.75
"20161214","8",70.5833333333333
"20161214","9",33.0869565217391
"20161214","10",51
"20161214","11",52
"20161214","12",61.125
"20161214","13",73.5833333333333
"20161214","14",55.625
"20161214","15",49.25
"20161214","16",30.8333333333333
"20161214","17",28.2916666666667
"20161214","18",45.4583333333333
"20161214","19",71.2916666666667
"20161214","20",27.5
"20161214","21",21.695652173913
"20161214","22",21.3333333333333
"20161214","23",39
"20161214","24",33.875
"20161214","25",44.625
"20161214","26",20.2083333333333
"20161214","27",39.875
"20161214","28",64.5416666666667
"20161214","29",98.2083333333333
"20161214","30",132
"20161214","31",38.375
"20161214","32",37.6666666666667
"20161214","33",37.875
"20161214","34",50.4166666666667
"20161214","35",41
"20161213","1",173.541666666667
"20161213","2",178.708333333333
"20161213","3",172.125
"20161213","4",183.583333333333
"20161213","5",179.083333333333
"20161213","6",180.041666666667
"20161213","7",206.208333333333
"20161213","8",243.416666666667
"20161213","9",178.565217391304
"20161213","10",215.541666666667
"20161213","11",213.291666666667
"20161213","12",222.458333333333
"20161213","13",239.958333333333
"20161213","14",226.739130434783
"20161213","15",186.375
"20161213","16",198.333333333333
"20161213","17",193.541666666667
"20161213","18",227.625
"20161213","19",234.541666666667
"20161213","20",189.083333333333
"20161213","21",160.583333333333
"20161213","22",158.416666666667
"20161213","23",101.791666666667
"20161213","24",181.375
"20161213","25",94.1304347826087
"20161213","26",94.7916666666667
"20161213","27",216.375
"20161213","28",291.833333333333
"20161213","29",301.333333333333
"20161213","30",279.5
"20161213","31",182
"20161213","32",195.909090909091
"20161213","33",179.041666666667
"20161213","34",202.583333333333
"20161213","35",238.176470588235
"20161212","1",274.684210526316
"20161212","2",256.052631578947
"20161212","3",252.894736842105
"20161212","4",267.368421052632
"20161212","5",256.055555555556
"20161212","6",275.947368421053
"20161212","7",238.052631578947
"20161212","8",251.789473684211
"20161212","9",217.736842105263
"20161212","10",262.263157894737
"20161212","11",258.947368421053
"20161212","12",258.684210526316
"20161212","13",272
"20161212","14",281.578947368421
"20161212","15",259.473684210526
"20161212","16",301.842105263158
"20161212","17",246
"20161212","18",243.421052631579
"20161212","19",250.105263157895
"20161212","20",230.578947368421
"20161212","21",201.263157894737
"20161212","22",206.157894736842
"20161212","23",241.368421052632
"20161212","24",226.157894736842
"20161212","25",230.368421052632
"20161212","26",188.052631578947
"20161212","27",234.111111111111
"20161212","28",340.789473684211
"20161212","29",332.368421052632
"20161212","30",318.111111111111
"20161212","31",266.947368421053
"20161212","32",273.052631578947
"20161212","33",262.421052631579
"20161212","34",281.157894736842
