"type","date","metrics","value"
"NO2","20181228","3",18.3913043478261
"O3","20181228","3",39.9130434782609
"SO2","20181228","3",2.82608695652174
"CO","20181228","4",0.404166666666667
"NO2","20181228","4",21.9166666666667
"O3","20181228","4",35.4583333333333
"SO2","20181228","4",3.29166666666667
"CO","20181228","5",0.2625
"NO2","20181228","5",20.3333333333333
"O3","20181228","5",39.8695652173913
"SO2","20181228","5",2.875
"CO","20181228","6",0.345833333333333
"NO2","20181228","6",17.9166666666667
"O3","20181228","6",38.875
"SO2","20181228","6",4.66666666666667
"CO","20181228","7",0.321052631578947
"NO2","20181228","7",19.15
"O3","20181228","7",44.1578947368421
"SO2","20181228","7",3.35
"CO","20181228","8",0.236363636363636
"NO2","20181228","8",4.34782608695652
"O3","20181228","8",48.9130434782609
"SO2","20181228","8",2
"CO","20181228","10",0.275
"NO2","20181228","10",25.2083333333333
"O3","20181228","10",34.9583333333333
"SO2","20181228","10",2.54166666666667
"CO","20181228","11",0.221739130434783
"NO2","20181228","11",12.7826086956522
"O3","20181228","11",47.95
"SO2","20181228","11",1.65217391304348
"CO","20181228","12",0.133333333333333
"NO2","20181228","12",12.9583333333333
"O3","20181228","12",51.9166666666667
"SO2","20181228","12",4.16666666666667
"CO","20181228","13",1.19583333333333
"NO2","20181228","13",30.8333333333333
"O3","20181228","13",40.0434782608696
"SO2","20181228","13",1.91666666666667
"CO","20181228","14",0.554166666666667
"NO2","20181228","14",25.875
"O3","20181228","14",29.0416666666667
"SO2","20181228","14",2.33333333333333
"CO","20181228","15",0.238095238095238
"NO2","20181228","15",23.375
"O3","20181228","15",35.5833333333333
"SO2","20181228","15",2.45833333333333
"CO","20181228","16",0.25
"NO2","20181228","16",23.4166666666667
"O3","20181228","16",36.1304347826087
"SO2","20181228","16",2.83333333333333
"CO","20181228","17",0.495652173913044
"NO2","20181228","17",13.8695652173913
"O3","20181228","17",47.5217391304348
"SO2","20181228","17",3.82608695652174
"CO","20181228","18",0.361111111111111
"NO2","20181228","18",13.6666666666667
"O3","20181228","18",43.25
"SO2","20181228","18",5.58333333333333
"CO","20181228","19",0.41
"NO2","20181228","19",9.22222222222222
"O3","20181228","19",52.7
"SO2","20181228","19",2.3
"CO","20181228","20",0.225
"NO2","20181228","20",9.04166666666667
"O3","20181228","20",48.5652173913044
"SO2","20181228","20",1.625
"CO","20181228","21",0.258333333333333
"NO2","20181228","21",16.0833333333333
"O3","20181228","21",40.5217391304348
"SO2","20181228","21",13.9166666666667
"CO","20181228","22",0.454166666666667
"NO2","20181228","22",12.0833333333333
"O3","20181228","22",39.5416666666667
"SO2","20181228","22",2.66666666666667
